11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
Full stack The Sigil, The Astromancer, Black Morrigan, Full stack Emperor's Luck, 40 primal incubator, 20 omen of refreshment, piece of brutality, 20 Farric Ape, 13 The Fool, hyrri's ire, crown of eyes, 9 deafening hatred, kill kitava, pillar of the caged god, 20 maps cast while channeling main skill, 4 orb of conflict, 250 quant t17 80 deli unique bosses shrined kill tul, 2 Farric Lynx Alpha, lab unique, 1 each relic base type, 4 ghost 80 deli chimera, build around a unique, 4 ghost 80 deli hydra, tainted chaos orb, rare items from each warband
250 quant t17 abyss profound depth full atlas, pillar of the caged god, Exalted Orb, tainted exalted orb, 80 Loyalty, 30 alva temples, lochtonial caress, kill kitava with inquisitor, every talisman anointed, 20 maps 1000 dex, 250 deli splinters 1 map, doppelganger guise, kill kitava, le heup of all, bloodseeker, Full stack Rain Tempter, 4 orb of conflict, ailment faster delve rare, 11 The Betrayal, Craiceann First of the Deep, emperor's majesty, 20 priceless contract, piece of storms, 21 The Survivalist, 200 rolled currency t17 lt 50 remain
250 quant t17 uniques possessed kill map boss in ritual and kill them again, stormshroud, 20 gilded fossil, Full stack The Inoculated, 20 maps main skill tagged slam, Full stack The Survivalist, afk blight ravaged no towers or button pressing, 5 transfigured gems that start with B, lioneye's fall, the restless ward, forbidden flame, Saqawal First of the Sky, kill kitava, 1 each rare cluster jewel size, every talisman anointed, 20 maps with mine main skill, fully unlock and equip relic altar, massive thread of hope, 100 adorned, 5 transfigured gems that start with C, 250 quant t17 80 deli unique bosses shrined kill k'tash, Full stack Thirst for Knowledge, every delirium unique jewel, voll's vision, 11 The Poet
3x t1 ele or 3x t1 phys bow 6 link +2 arrows t1 attack speed t1 crit chance corrupted with momentum or faster projectiles, 20 Saqawine Blood Viper, 20 potent resonator, 20 maps 1000 dex, 20 Farric Ursa, 10 6 mod abyss jewels, piece of storms, 200 rolled currency t17 lt 50 remain, 20 maps main skill tagged critical, shadows and dust, 20 medium cluster 4 or 5 passive rare, i83 catarina stand in green degen squares when they become available until end of fight, kill kitava, piece of focus, lightning coil, Full stack The Hermit, impossible escape, 250 quant t17 80 deli unique bosses shrined kill chayula, 10 Craicic Shield Crab, Full stack The Scholar, oriath's end, 20 omen of refreshment, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 7 hour act 10 new char, intuitive leap
t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, plus 7 gloves, 20 maps with lightning main skill, 6 tainted fusing, 1 each relic base type, 5 heist bases jewellery, 250 quant t17 80 deli unique bosses shrined kill uul netol, 9 deafening spite, 2 curse impresence or soul ascension or eternity shroud, 20 maps with cold main skill, 1000 Scroll of Wisdom, 12 large cluster 12 passive rare, kill kitava, 1 fracturing orbs, 27 deafening fear, 4 the felbog fang, 250 quant t17 80 deli unique bosses shrined kill xoph, Full stack The Adventuring Spirit, double reservation anointed rare amulet, 1 of each colour legion jewel, surgebinders, caer blaidd, 9 deafening dread, rain of splinters, al dhih
10 bound fossil, 20 maps dual wield attack main skill, 20 tainted chrome, 100 wings, double corrupted headhunter, Full stack The Endurance, melding of the flesh, 21 A Sea of Blue, the tides of time, every attribute amulet anointed, hyrri's truth, 1 each tincture, kill kitava, Full stack Hunter's Resolve, t16 rare monster with 8 essence 4 ghost 80 deli, doppelganger guise, Full stack Destined to Crumble, triple nonnegative leadership's price, 10 darkness enthroned, 50 quant feared with all release, 17 The Stormcaller, 250 quant t17 80 deli unique bosses shrined kill k'tash, vulconus, 20 maps with perma minions main skill, 20 craicic squid
250 quant t17 80 deli unique bosses shrined kill beidat, every delirium unique jewel, 13 The Gambler, tainted exalted orb, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 20 essence eradicator, death's oath, lioneye's vision, dissolution of the flesh, 10 craicic vassal, every talisman anointed, 2 Farric Lynx Alpha, kill kitava, 20 maps 1h attack main skill, 10 scorched fossil, piece of the arcane, 20 maps with cold main skill, 50 Lesser Eldritch Ichor, 4 hour a10 any duelist, legacy of fury, berek's pass, the tides of time, 20 reflective oils, spell damage or crit multi corrupt divinarius, piece of focus
mark of the shaper and mark of the elder, 40 Orb of Scouring, 20 maps 70% crit chance on main skill, 20 essence eradicator, 20 inscribed ultimatum, 4 hour a10 any duelist, 250 quant t17 100 deli possessed kosis, 10 6 mod abyss jewels, thousand ribbons, kill kitava with occultist, voices, plus 4 hands of the high templar, kill kitava, 3 gold oils, Full stack Glimmer of Hope, hyrri's ire, the anima stone, berek's grip, ailment faster delve rare, 200 tainted armourer's, 2 kalandra's touch, headhunter, 20 tempering orbs, 10 corrupted 6 links, 40 obscured incubator
harbinger scroll, 1000 Portal Scroll, 100 Armourer's Scrap, brutus' lead sprinkler, 50 quant feared with all release, piece of focus, echoes of creation, 3 red woke gems, 20 Saqawine Retch, 20 maps 50k armour, 20 fire and chaos unveiled, 2 honourhome, kill kitava, Farrul First of the Plains, 10 corrupted 6 links, orb of dominance, shadowstitch, 20 ancient orbs, doppelganger guise, fury valve, 5 tul breachstone, 5 carto scarab of risk unid t17 full map effect atlas, 200 rolled currency t17 lt 50 remain, 20 maps with lightning main skill, Father's Love
balance of terror, Full stack Rain of Chaos, 30 scouting reports, 3 forbidden shako, 20 small cluster jewel rare, 20 maps with fire main skill, 28 Thunderous Skies, 6 tainted fusing, Full stack The Sigil, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 4 hour a10 any duelist, 10 perception contract, kill kitava, 4 unique relics, berek's grip, might of the meek, void valdo, rumi's concoction, 1 of each temple resistance, triple nonnegative leadership's price, 18 deafening doubt, 20 maps main skill tagged channel, 4 the felbog fang, ashes of the stars, plus 5 x gems staff t1 increased x damage or spell damage prefix suffixes 3 t1 of x damage or spell crit or global crit multi or global dot multi or x dot multi corrupted with inc area inc cast speed or power on crit chance
20 maps 10k energy shield, 20 Farric Chieftain, 100 wings, 100 chaos orbs, 200 yellow beasts, 5 transfigured gems that start with C, 18 The Inoculated, afk blight ravaged no towers or button pressing, 20 maps main skill tagged bow, 20 vaal orbs, cospri's will, 4 full revealed blueprint, kill kitava, each delve ring, 100 adorned, tabula rasa, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, ralakesh , 10 forbidden tome, massive thread of hope, 3 forbidden shako, 2 curse impresence or soul ascension or eternity shroud, 19 The Tower, timeclasp, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain
The Greatest Intentions, marylene's fallacy, Full stack The Cache, 13 The Risk, 5 brutal restraint, 20 Farric Chieftain, 20 Fenumal Devourer, 20 Glassblower's Bauble, sandstorm visage, marohi erqi, Full stack The Witch, 100% deli 10 mod t16 less than 50 remain and map complete, kill kitava, 10 Regal Orb, 1 fracturing orbs, 10 darkness enthroned, 20 maps with mine main skill, 250 deli splinters 1 map, 12 large cluster 12 passive rare, delve max number of minion mod, ashes of the stars, 1000 alterations, 4 hour a10 any templar, 20 maps 1000 dex, intuitive leap
Full stack The Trial, stormcharger, 10 forbidden tome, the overflowing chalice, 250 quant t17 100 deli possessed kosis, sandstorm visage, bottled faith, 2 synth i86 spine bows, 100 total cluster jewel notables, the magnate, 1 passive voices, 4 bear's girdle, kill kitava, 10 simulacrum, 20 maps main skill tagged link, 200 astragali, lab unique, 250 quant t17 80 deli unique bosses shrined kill beidat, 10 The Fortunate, 90 life 9 suppress 20 chaos rare non-body, massive thread of hope, 20 maps with totem main skill, dendrobate, double reservation anointed rare amulet, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es
piece of directions, 27 deafening fear, massive thread of hope, the whispering ice, 20 Lucky Connections, 20 maps main skill tagged strike, 3 passive voices, Full stack The Harvester, 4 hour a10 any witch, atziri's foible, 5 temple mod rare amulet, lioneye's paws, kill kitava, 3 forbidden shako, 20 maps with brands main skill, 20 ancient orbs, Full stack The Tower, 20 medium cluster 4 or 5 passive rare, 250 quant t17 80 deli unique bosses shrined kill tul, 8 mod t17, 11 The Scavenger, Double corrupted mageblood, 4 unique relics, piece of time, fury valve
20 maps with phys main skill, daresso's defiance, 2 curse impresence or soul ascension or eternity shroud, 10 vorici gloves veiled, plus 4 hands of the high templar, 5 transfigured gems that start with D, 100 rare rings, quad anointed non stranglegrasp, maven witness uber elder, 20 infused incubator, 20 tempering orbs, 50 tainted mythic orb, kill kitava, 250 quant t17 80 deli unique bosses shrined kill k'tash, tabula rasa, 100 total cluster jewel notables, additional merchant choice relic, 1 each tincture, 100 engineering orbs, darkray vectors, 250 deli splinters 1 map, 20 reflective oils, kill kitava with inquisitor, death's oath, 4 the felbog fang
delve curse on hit ring, 20 maps with phys main skill, synth explode weapon, 250 quant t17 100 deli possessed kosis, badge of the brotherhood, crown of eyes, every talisman anointed, 5 abyss jewel es regen per sec, ghost feared valdo, brightbeak, 250 quant t17 80 deli unique bosses shrined kill ghorr, 3 large cluster jewel 3 notable, kill kitava, piece of the arcane, 40 foreboding incubator, Full stack Vinia's Token, Full stack Rain of Chaos, 20 maps main skill tagged curse, impossible escape, 10 bindings, 50k rogue markers, 3 gold oils, 20 omen of refreshment, matching damage and multi cane of kulemak, 4 orb of conflict
tinkerskin, 11 The Drunken Aristocrat, al dhih, 20 maps main skill tagged arcane, forbidden flesh, inspired learning, double corrupted bloodseeker, 8 mod t16, 1 any blueprint exclusive non replica unique, minions are aggressive delve rare, 64 large cluster 8 passive rare, 4 grasping mail, kill kitava, 13 Chaotic Disposition, kill kitava with warden, intuitive leap, 1 fracturing orbs, 13 Sambodhi's Vow, every talisman anointed, 250 quant t17 80 deli unique bosses shrined kill beidat, cospri's will, Full stack The Witch, oriath's end, 20 essence purifier, 4 ghost 80 deli hydra
50 noxious catalyst, mark of submission, synth stat stack mod, 21 A Sea of Blue, 11 The Scavenger, lab unique, Full stack Hubris, 100 engineering orbs, kill craiccean only wearing craiceann uniques, voideye, 1 each relic base type, 50 replica uniques, kill kitava, 20 maps 7000 mana, 20 maps with fire main skill, 40 primal incubator, 20 essence purifier, 2 curse impresence or soul ascension or eternity shroud, 100% deli 10 mod t16 less than 50 remain and map complete, 10 non bench suppress items, 13 The Endurance, Full stack Destined to Crumble, 4 grasping mail, cloak of flame, matching damage and multi cane of kulemak
dying breath, 10 deception contract, Full stack Assassin's Favour, 20 omen of the jeweller, 20 omen of refreshment, kill kitava with assassin, massive thread of hope, kaom's roots, 10 counter thaumatergy contract, 1 of each temple resistance, 250 quant t17 80 deli unique bosses shrined kill uul netol, mirror shard, kill kitava, hinekora's lock, Comprehensive Scouting Report, plus 6 march of the legion non minion non warcry, clear hall of the grandmasters, 9 deafening scorn, Full stack The Body, mark of the shaper and mark of the elder, 20 priceless contract, 100 wings, omen of connections, 5 way 4 unrelenting 3 layers of rewards, 20 maps 50k armour
3 forbidden shako, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, plus 4 hands of the high templar, ailment faster delve rare, Full stack Mitts, 10 Vaal Scouting Report, 80% deli t17 lt 50 remain and boss, 33 Rain Tempter, 20 maps main skill tagged duration, 13 The Twins card, 1 of each temple resistance, Fenumus First of the Night, kill kitava, Full stack Jack in the Box, 20 maps main skill tagged bow, anathema, 250 quant t17 80 deli unique bosses shrined kill ghorr, 4 unique relics, 30 alva temples, 40 primal incubator, 3 passive voices, spell damage or crit multi corrupt divinarius, hyrri's truth, 2 each heist unique contract unique, Full stack The Mountain
oriath's end, 1 each rare cluster jewel size, 20 maps main skill tagged arcane, ailment faster delve rare, 10 non bench suppress items, 100 The Scholar, 20 corrupted fossil, 10 The Beast, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, forbidden flesh, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, Full stack Imperial Legacy, kill kitava, 20 small cluster jewel rare, intuitive leap, Operative's Scouting Report, Full stack Boundless Realms, Full stack Doedre's Madness, 100 delirium orbs, harbinger scroll, 20 maps with attack main skill, The Demon, 4 ghost 80 deli phoenix, the ivory tower, 20 craicic squid
equip huck with lvl15 haste, void valdo, 20 sacred orbs, 100 delirium orbs, Full stack The Blazing Fire, 20 maps main skill tagged movement or travel or blink, bottled faith, mark of the shaper and mark of the elder, rain of splinters, 250 quant t17 80 deli unique bosses shrined kill uul netol, mother's embrace, 4 grasping mail, kill kitava, 20 maps with dot main skill, sunblast, 1 each relic base type, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 100 wings, 13 The Skeleton, Full stack The Summoner, 27 deafening fear, voideye, every talisman anointed, 19 The Cache, Blighted Scouting Report
50 noxious catalyst, 10 The Admirer, Ambitious Obsession, 5 temple mod rare shoes, 4 grasping mail, shavronne's wrappings, bloodnotch, lab unique, 250 quant t17 80 deli unique bosses shrined kill uul netol, Full stack The Catalyst, victario's influence, 20 omen of refreshment, kill kitava, dissolution of the flesh, 5 flawless breachstone, 5 elegant hubris, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, 100 Stacked Deck, 4 unique relics, ghostwrithe, 5 carto scarab of risk unid t17 full map effect atlas, Saqawal First of the Sky, 20 maps with self cast main skill, 4 ghost 80 deli chimera, briskwrap
spell damage or crit multi corrupt divinarius, forbidden flesh, crown of eyes, wyrmsign, 9 deafening loathing, 5 glorious vanity, omen of connections, ralakesh , upgrade a harbinger unique, 20 maps cast on crit main skill, t16 rare monster with 8 essence 4 ghost 80 deli, 10 gearsets of chaos recipe, kill kitava, bronn's lithe, 300 quant t17 full spec ultimatum completed, 20 reflective oils, oriath's end, 13 The Rabid Rhoa, kikazaru, 12 large cluster 12 passive rare, kill kitava with berserker, Craiceann First of the Deep, 8 mod t17, 2 the wasp nest, 9 deafening wrath
20 maps main skill tagged slam, kitava's thirst, 250 quant t17 80 deli unique bosses shrined kill chayula, forbidden flesh, Full stack The Scarred Meadow, kill farrul with only farrul uniques equipped, vulconus, kaom's roots, 20 maps main skill tagged retaliation, 100 engineering orbs, omen of connections, 40 abyss incubator, kill kitava, piece of storms, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, Full stack Cartographer's Delight, 10 heist bases any, 4 grasping mail, The Astromancer, 4 law of the wilds, 11 The Poet, 4 unique relics, 10 simulacrum, Craiceann First of the Deep, Full stack Her Mask
20 corrupted fossil, plus 4 hands of the high templar, Full stack The Gemcutter, 20 maps main skill tagged orb, pyroshock clasp, 10 gearsets of chaos recipe, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, fury valve, 18 The Inoculated, 20 maps with attack main skill, 20 frigid fossil, Full stack Thunderous Skies, kill kitava, Fenumus First of the Night, 250 quant t17 100 deli possessed kosis, 5 transfigured gems that start with D, replica baited breath, impossible escape, perquil's toe, anathema, tainted chaos orb, 10 darkness enthroned, 200 astragali, 4 hour a10 any ranger, 5 militant faith
Full stack The Watcher, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 20 priceless contract, 100 Orb of Fusing, 3 gold oils, fractured delve mod, The Price of Loyalty, 250 quant t17 80 deli unique bosses shrined kill xoph, Full stack Shard of Fate, 11 Humility, 11 The Wilted Rose, 10 corrupted 6 links, kill kitava, 10 forbidden tome, the tides of time, shavronne's revelation, 5 Farric Pit Hound, 2 curse impresence or soul ascension or eternity shroud, Full stack The Wolf, 20 maps with attack main skill, heatshiver, blunderbore, void valdo, 5 militant faith, 20 maps 7000 mana
vixen's entrapment, 20 maps 1000 int, the overflowing chalice, ichimonji, ulaman's gaze, 21 The Sigil, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 5 transfigured gems that start with B, grand spectrum, maven witness uber elder, 5 transfigured gems that start with A, 20 maps with dot main skill, kill kitava, 100 engineering orbs, every attribute amulet anointed, lioneye's vision, 4 unique relics, 1000 transmutations, 1 flawless chayula, 40 primal incubator, 250 quant t17 80 deli unique bosses shrined kill beidat, eye of malice, 30 alva temples, necrotic 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 int or dex inc attributes prefixes 90% divine suffixes perfect divine implicits 1% less damage take per 180 corresponding attribute 15% aura effect, plus 4 hands of the high templar
20 Farric Ape, Full stack Three Faces in the Dark, 20 maps 10k energy shield, kill saqawal only wearing saqawal uniques, 20 tainted chrome, perseverance, mageblood, 20 reflective oils, Full stack The Gambler, 13 The Jeweller's Boon, The Price of Devotion, 3 gold oils, kill kitava, 250 quant t17 80 deli unique bosses shrined kill chayula, 5 lethal pride, al dhih, 5 abyss jewel es regen per sec, full gearset influenced items, the ivory tower, 4 unique relics, 250 quant t17 unique boss shrined and 4 ghosts, Delirious Scouting Report, make a harbinger unique, 20 maps 50k armour, ashes of the stars
the fourth vow, maven witness uber elder, forbidden flame, Black Morrigan, double corrupted headhunter, fractured delve mod, 2 fractured fossil, 250 quant t17 80 deli unique bosses shrined kill chayula, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, Mahuxotl's Machination, 20 lightning and chaos unveiled, 20 maps main skill tagged bow, kill kitava, 10 darkness enthroned, 20 fire and chaos unveiled, 20 maps 7000 mana, 1 of each colour legion jewel, agnerod staff, 8 mod t16, 10 corrupted 6 links, Full stack Her Mask, southbound, oriath's end, 200 yellow beasts, Full stack The Cache
acton's nightmare, 5 to 1 cluster jewels 20 times, 10 deception contract, incandescent heart, ashes of the stars, atziri's foible, 60 unique rings, 50 Lesser Eldritch Ember, 20 maps with fire main skill, every talisman anointed, kill farrul with only farrul uniques equipped, 20 offering to the goddess, kill kitava, pyroshock clasp, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, 3 rares same name, 250 quant t17 80 deli unique bosses shrined kill xoph, 50 noxious catalyst, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, 20 maps main skill tagged golem, 1 of each temple resistance, 30 Craicic Savage Crab, 3 forbidden shako, 2 curse impresence or soul ascension or eternity shroud, 5 militant faith
10 bindings, 5 temple mod rare chests, 20 Fenumal Widow, 20 maps main skill tagged slam, 5 carto scarab of risk unid t17 full map effect atlas, acton's nightmare, 10 simulacrum, every talisman anointed, Comprehensive Scouting Report, The Greatest Intentions, minions are aggressive delve rare, the magnate, kill kitava, tainted exalted orb, carcass jack, 10 counter thaumatergy contract, 300 quant t17 full spec ultimatum completed, dissolution of the flesh, make a harbinger unique, bones of ullr, 18 The Inoculated, triple wisp t17 boss, Farrul First of the Plains, mark of the shaper and mark of the elder, 20 maps main skill tagged herald
Saqawal First of the Sky, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 50 Lantador's Lost Love, three step assult, rebuke of the vaal, 4 hour a10 any templar, cloak of flame, Full stack The Inventor, 64 large cluster 8 passive rare, ulaman's gaze, 5 elegant hubris, the tides of time, kill kitava, ashes of the stars, 5 glorious vanity, obscurantis, 11 The Forsaken, kill kitava with warden, 40 exotic coinage, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, woke exceptional, 100 delirium orbs, Full stack The Jeweller's Boon, every attribute amulet anointed, 250 quant t17 80 deli unique bosses shrined kill esh
thousand ribbons, forbidden flame, 11 The Betrayal, singularity, 30 alva temples, piece of focus, impossible escape, 10 deception contract, Full stack Hubris, 10 forbidden tome, 20 maps 7000 mana, 10 The Pack Leader, kill kitava, i83 omnitect at most 2 items equipped, 13 The Lich, ghost feared valdo, the magnate, plus 2 counter thaumaturgy jobs ward, 20 maps 100 suppression, 5 every transfigured colour, ralakesh , surgebinders, 200 astragali, briskwrap, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger
20 maps with phys main skill, frostbreath, 5 unique maps, 20 priceless contract, 20 maps main skill tagged aoe, 20 medium cluster 4 or 5 passive rare, plus 4 hands of the high templar, sibyl's lament, 250 deli splinters 1 map, 40 primal incubator, piece of focus, 3 cinderswallow urn, kill kitava, 11 Emperor of Purity, original sin relic, 40 The Sword King's Salute, might of the meek, 600 delve, Full stack The Sigil, 333 quant t17, taste of hate, 5 black sun crest, the tides of time, fractured delve mod, 100 delirium orbs
kill kitava with berserker, 11 The Archmage's Right Hand, intuitive leap, winterweave, squire corrupted with plus any socketed gems, 20 maps with lightning main skill, 5 heist bases jewellery, ashes of the stars, 100 abyss jewels, 4.5 hour a10 scion, ryslatha's coil, 600 delve, kill kitava, every attribute amulet anointed, 11 Blind Venture, Full stack The Dragon, 20 medium cluster 4 or 5 passive rare, 1 each relic base type, queen of the forest, 10 scorched fossil, 5 glorious vanity, Full stack Cameria's Cut, 30 alva temples, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, unid facebreaker link in global
piece of storms, delve max number of minion mod, Farrul First of the Plains, ghost feared valdo, 2 the wasp nest, 100 Destined to Crumble, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, 40 Orb of Regret, 20 fragmented incubator, 20 Blessed Orb, Full stack The Watcher, 21 A Sea of Blue, kill kitava, rakiata's dance double corrupted, rare with glimpse of chaos implicit, 20 Saqawine Retch, 2 curse impresence or soul ascension or eternity shroud, 20 maps with 50 mana reservation efficiency, 64 large cluster 8 passive rare, Full stack Sambodhi's Vow, intuitive leap, ashes of the stars, kill saqawal only wearing saqawal uniques, 200 yellow beasts, 20 maps main skill tagged arcane
Mahuxotl's Machination, non catarina syndicate unique, 5 transfigured gems that start with B, 20 maps with brands main skill, 4.5 hour a10 any marauder, 20 maps with phys main skill, 4 voidstones, delve max number of minion mod, surgebinders, 20 abyss jewels with t1 life, Full stack Emperor's Luck, 50 tainted mythic orb, kill kitava, impossible escape, 4 hour a10 any ranger, 11 The Wilted Rose, 250 quant t17 80 deli unique bosses shrined kill beidat, dyadian dawn, Black Morrigan, 3 white beachhead, 10 simulacrum, double corrupted headhunter, 10 counter thaumatergy contract, widowhail, the tides of time
oba's cursed trove, 1 each relic base type, anathema, 100 abyss jewels, Full stack The Sword King's Salute, Full stack The Metalsmith's Gift, original sin relic, rise of the phoenix, 5 heist bases jewellery, 3 large cluster jewel 3 notable, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 100 rare rings, kill kitava, Mahuxotl's Machination, 10k of each harvest juice, 10 deception contract, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, 100 wings, 10 The Admirer, 4 ghost 80 deli chimera, dissolution of the flesh, 9 deafening rage, 20 maps 50k armour, 20 maps with trap main skill, 13 The Surveyor
chaos pen chaos multi paradoxica, 8 mod t17, 200 delve, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, anathema, 10 heist bases any, 20 Fenumal Devourer, Full stack The Calling, plus 4 hands of the high templar, Full stack The Demoness, 20 priceless contract, 20 maps main skill tagged chaining, kill kitava, 100 delirium orbs, balance of terror, 4 unique relics, svalinn, 50 The Hermit, 100 wings, 200 yellow beasts, kill kitava with guardian, clear hall of the grandmasters, 10 shuddering fossil, Full stack The Aesthete, Craiceann First of the Deep
2 curse impresence or soul ascension or eternity shroud, 11 The Poet, 100 Armourer's Scrap, Comprehensive Scouting Report, maven witness uber elder, Full stack The Watcher, goldwyrm, 20 maps main skill tagged arcane, 30 primitive resonator, 12 pragmatism, hyaon's fury, Mahuxotl's Machination, kill kitava, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 20 tainted chrome, 10 perception contract, 100 total cluster jewel notables, 20 maps 10k energy shield, 27 deafening fear, 1 passive voices, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 1 each relic base type, 33 The Opulent, first letter of 3 notable cluster spells word in pob order, piece of storms
tinkerskin, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 20 maps main skill tagged golem, 10 perception contract, dying sun, 10 fenumal scorpion, Full stack The Lover, 5 Farric Pit Hound, Full stack The Explorer, omen of connections, forbidden flesh, Full stack Boon of Justice, kill kitava, 5 elegant hubris, 10 craicic vassal, 1 flawless uul netol, 20 maps 1000 int, 250 quant t17 80 deli unique bosses shrined kill beidat, 3 same grand spectrum, 250 quant t17 80 deli unique bosses shrined kill tul, mao kun, 2 curse impresence or soul ascension or eternity shroud, delve max number of minion mod, every talisman anointed, 10 The Golden Era
alpha's howl, 20 maps with triggered main skill, Full stack The Tireless Extractor, 4 ghost 80 deli hydra, 8 mod t16, piece of focus, 100 adorned, sandstorm visage, 10 janus helm veiled, 90 quant feared, cold iron point, kill kitava with occultist, kill kitava, 20 fragmented incubator, 13 The Surgeon, mark of the shaper and mark of the elder, 10 forbidden tome, every delirium unique jewel, Craiceann First of the Deep, atziri's foible, death's oath, 100 abyss jewels, bottled faith, melding of the flesh, 4 hour a10 any templar
100 abyss jewels, 5 every transfigured colour, void valdo, 2 elevore, plus 4 hands of the high templar, 20 maps main skill tagged prismatic, 1000 Orb of Transmutation, 10 counter thaumatergy contract, Full stack The Flora's Gift, 20 The Web, 10 deception contract, 20 Saqawine Blood Viper, kill kitava, quad anointed non stranglegrasp, 5 carto scarab of risk unid t17 full map effect atlas, kill kitava with warden, 20 Farric Chieftain, 4 ghost 80 deli chimera, bloodnotch, piece of focus, 5x t3+ item, Comprehensive Scouting Report, mark of the shaper and mark of the elder, 20 abyss jewels with t1 life, ulaman's gaze
Full stack The Gemcutter, 20 tainted chrome, 100 Destined to Crumble, pilfering scarab 1000 cards one boss, divine orb a dragonfang you dropped, 4 grasping mail, shavronne's revelation, i86 stygian, sandstorm visage, 50 embers, aurseize, kill kitava with saboteur, kill kitava, 100 bindings, quad anointed non stranglegrasp, 20 small cluster jewel rare, ashes of the stars, upgrade a harbinger unique, 10 vorici gloves veiled, 250 quant t17 100 deli possessed omniphobia, 20 maps 0% crit chance on main skill, Full stack The Journalist, delve curse on hit ring, 10 simulacrum, 20 essence enslaver
afk blight ravaged no towers or button pressing, 4 hour a10 any templar, The Astromancer, marylene's fallacy, 5 abyss jewel es regen per sec, 20 maps main skill tagged critical, Fenumus First of the Night, turn in cards for a t0, 10k of each harvest juice, 1 insanity essence, 2 curse impresence or soul ascension or eternity shroud, mark of the shaper and mark of the elder, kill kitava, Full stack The Gemcutter, minions are aggressive delve rare, 1000 clear oil, kill kitava with occultist, 12 large cluster 12 passive rare, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, Full stack The Inventor, the ivory tower, 50 Lesser Eldritch Ember, 20 craicic squid, 1 any blueprint exclusive non replica unique, the overflowing chalice
intuitive leap, 20 maps main skill tagged movement or travel or blink, 2 curtain call, 20 prismatic catalyst, 3 gold oils, Black Morrigan, 200 tainted whetstone, 4 grasping mail, incandescent heart, echoes of creation, 3 rares same name, 4 full revealed blueprint, kill kitava, clear hall of the grandmasters, 10 split personality, Full stack The Porcupine, prismweave, Assassin's Gift, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 5 lethal pride, 20 maps spellslinger main skill, 250 quant t17 80 deli unique bosses shrined kill ghorr, Full stack The Penitent, 13 The Fool, 4 unique relics
